1,0,0,41072
0,1,0,4122259
0,0,1,2903930
2,0,0,51140
1,1,0,1729852
1,0,1,50566
0,2,0,8256088
0,1,1,1999054
0,0,2,3909362
3,0,0,18834
2,1,0,1575270
2,0,1,4674
1,2,0,5096628
1,1,1,109878
1,0,2,23877
0,3,0,2875080
0,2,1,586602
0,1,2,589704
0,0,3,44160
4,0,0,6204
3,1,0,766520
3,0,1,1316
2,2,0,7961816
2,1,1,51732
2,0,2,3844
1,3,0,1426644
1,2,1,122896
1,1,2,30972
1,0,3,612
0,4,0,1418092
0,3,1,191992
0,2,2,126352
0,1,3,10052
0,0,4,5268
5,0,0,3740
4,1,0,298505
4,0,1,460
3,2,0,3178085
3,1,1,16320
3,0,2,910
2,3,0,715110
2,2,1,112645
2,1,2,10550
2,0,3,85
1,4,0,489550
1,3,1,63080
1,2,2,33330
1,1,3,720
1,0,4,70
0,5,0,405150
0,4,1,61470
0,3,2,28880
0,2,3,3275
0,1,4,1375
0,0,5,2630
6,0,0,2028
5,1,0,113442
5,0,1,168
4,2,0,1091268
4,1,1,6804
4,0,2,186
3,3,0,300270
3,2,1,55242
3,1,2,2976
3,0,3,24
2,4,0,255492
2,3,1,48990
2,2,2,42822
2,1,3,312
2,0,4,12
1,5,0,155718
1,4,1,28896
1,3,2,13692
1,2,3,732
1,1,4,84
1,0,5,36
0,6,0,164826
0,5,1,21660
0,4,2,10674
0,3,3,1206
0,2,4,540
0,1,5,642
0,0,6,1962
7,0,0,336
6,1,0,28385
6,0,1,21
5,2,0,251363
5,1,1,1722
5,0,2,28
4,3,0,81277
4,2,1,17199
4,1,2,497
4,0,3,7
3,4,0,75817
3,3,1,15918
3,2,2,15561
3,1,3,56
3,0,4,0
2,5,0,54740
2,4,1,12915
2,3,2,7322
2,2,3,630
2,1,4,0
2,0,5,0
1,6,0,33418
1,5,1,7189
1,4,2,3647
1,3,3,259
1,2,4,84
1,1,5,21
1,0,6,7
0,7,0,34111
0,6,1,3794
0,5,2,2128
0,4,3,329
0,3,4,84
0,2,5,84
0,1,6,105
0,0,7,84
8,0,0,696
7,1,0,9688
7,0,1,16
6,2,0,89824
6,1,1,760
6,0,2,24
5,3,0,30728
5,2,1,6728
5,1,2,160
5,0,3,0
4,4,0,32752
4,3,1,6528
4,2,2,5440
4,1,3,32
4,0,4,8
3,5,0,25480
3,4,1,6688
3,3,2,3336
3,2,3,248
3,1,4,0
3,0,5,0
2,6,0,21968
2,5,1,5080
2,4,2,2688
2,3,3,168
2,2,4,32
2,1,5,0
2,0,6,0
1,7,0,12544
1,6,1,2824
1,5,2,1224
1,4,3,64
1,3,4,16
1,2,5,0
1,1,6,0
1,0,7,0
0,8,0,14152
0,7,1,1384
0,6,2,768
0,5,3,104
0,4,4,32
0,3,5,32
0,2,6,24
0,1,7,32
0,0,8,64
9,0,0,81
8,1,0,3231
8,0,1,18
7,2,0,35199
7,1,1,315
7,0,2,0
6,3,0,13392
6,2,1,2466
6,1,2,45
6,0,3,0
5,4,0,14535
5,3,1,2493
5,2,2,1719
5,1,3,9
5,0,4,0
4,5,0,11763
4,4,1,3564
4,3,2,1512
4,2,3,99
4,1,4,9
4,0,5,0
3,6,0,12312
3,5,1,3285
3,4,2,1548
3,3,3,126
3,2,4,9
3,1,5,0
3,0,6,0
2,7,0,8622
2,6,1,2718
2,5,2,1080
2,4,3,135
2,3,4,27
2,2,5,0
2,1,6,0
2,0,7,0
1,8,0,4383
1,7,1,1170
1,6,2,486
1,5,3,54
1,4,4,0
1,3,5,0
1,2,6,9
1,1,7,0
1,0,8,0
0,9,0,5400
0,8,1,711
0,7,2,405
0,6,3,135
0,5,4,27
0,4,5,54
0,3,6,0
0,2,7,9
0,1,8,27
0,0,9,9
10,0,0,180
9,1,0,1400
9,0,1,0
8,2,0,15270
8,1,1,110
8,0,2,0
7,3,0,5430
7,2,1,910
7,1,2,10
7,0,3,7220
6,4,0,0
6,3,1,960
6,2,2,470
6,1,3,0
6,0,4,0
5,5,0,5920
5,4,1,1620
5,3,2,570
5,2,3,20
5,1,4,0
5,0,5,0
4,6,0,7290
4,5,1,2110
4,4,2,1440
4,3,3,20
4,2,4,10
4,1,5,0
4,0,6,0
3,7,0,5180
3,6,1,1810
3,5,2,800
3,4,3,50
3,3,4,20
3,2,5,0
3,1,6,0
3,0,7,0
2,8,0,3310
2,7,1,1090
2,6,2,400
2,5,3,130
2,4,4,20
2,3,5,0
2,2,6,0
2,1,7,0
2,0,8,0
1,9,0,1550
1,8,1,420
1,7,2,180
1,6,3,10
1,5,4,0
1,4,5,0
1,3,6,0
1,2,7,0
1,1,8,10
1,0,9,0
0,10,0,2190
0,9,1,300
0,8,2,110
0,7,3,10
0,6,4,40
0,5,5,30
0,4,6,20
0,3,7,10
0,2,8,20
0,1,9,30
0,0,10,60
